Movie name,Description,Genre
Inglourious Basterds," nazi-occupied france  world war ii,  group  jewish-american soldiers known  ""the masters""  chosen specifically  spread fear throughout  third reach  scaling  brutally killing nazis.  masters, lead  lt. also rain soon cross paths   french-jewish teenage girl  runs  movie theater  paris   targeted   soldiers.","Drama, Thriller, War"
Wolfwalkers,"  time  superstition  magic,  wolves  seen  demonic  nature  evil   named,  young apprentice hunter comes  ireland   father  wipe   last pack.    saves  wild native girl,  friendship leads   discover  world   wolfwalkers  transform     thing  father  tasked  destroy.","Animation, Family, Adventure, Fantasy"
Puss in Boots: The Last Wish,"pass  boots discovers   passion  adventure  taken  toll:   burned  eight   nine lives, leaving    one life left. pass sets    epic journey  find  mythical last wish  restore  nine lives.","Animation, Adventure, Fantasy, Comedy, Family"
Witness for the Prosecution, ailing barrister agrees  defend  man   sensational murder trial   unconvincing testimony   defendant's wife becomes  subject  confusion.,"Drama, Mystery, Crime"
Michael Jackson's Thriller," night   movies turns   nightmare  michael   date  attacked   horde  bloody-thirty zombies.  top   success   thriller album  michael jackson's electrifying performance  town 25,  short film/music video  ""thriller"" established jackson   international superstar  global phenomenon. thriller  credited  transforming music videos   serious art form, breaking  racial barriers  popular entertainment, popularizing  making-of documentary format  creating  home video market.  success transformed jackson   dominant force  global pop culture.  2009,  became  first music video inducted   united states national film registry   library  congress  ""culturally, historically  aesthetically significant"". ""thriller""  also jackson's seventh  final u.s. hot 100 top 10 hit   thriller album.    first album  history   seven u.s. top 10s.","Horror, Music, Mystery"
TAYLOR SWIFT | THE ERAS TOUR," concert film documenting taylor swift's record-breaking eras tour (2023-2024). filmed   los angeles shows,  film captures  tour's ten acts,  representing  different musical era  swift's career.  film showcases  40 songs, elaborate stage productions,  swift's performance.",Music
The Shining,"jack tolerance accepts  caretaker job   overlook hotel,  he, along   wife wendy   son danny, must live isolated   rest   world   winter.    prepared   madness  lures within.","Horror, Thriller"
"The Boy, the Mole, the Fox and the Horse"," unlikely friendship   boy,  mole,  fox   horse traveling together   boy's search  home.","Animation, Family, Adventure, Fantasy"
Ultraman: Rising," star athlete reluctantly returns home  take   father's duties  ultraman, shielding tokyo  giant monsters   becomes  legendary hero.","Animation, Science Fiction, Family, Action"
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"janeiro kamal, joined  insure hashibira,  boy raised  board  wears  boar's head,  zenith agatsuma,  scared boy  reveals  true power   sleeps, boards  infinity train   new mission   fire hashing, kyojuro rengoku,  defeat  demon    commenting  people  killing  demon players  oppose it!","Animation, Action, Fantasy, Thriller"
Evangelion: 3.0+1.0 Thrice Upon a Time,"  aftermath   fourth impact, stranded without  evangelists, hindi, ask  rei find refuge  one   rare pockets  humanity  still exist   ruined planet earth. there,  lives  life far different   days   evangelist pilot. however,  danger   world  far  over.  new impact  looming   horizon—one   prove    true end  evangelist.","Animation, Action, Science Fiction, Drama"
The Help,"aibileen clark   middle-aged african-american maid   spent  life raising white children   recently lost   son; miny jackson   african-american maid   often offended  employers despite  family's struggles  money   desperate need  jobs;  eugene ""skater"" plan   young white woman   recently moved back home  graduating college  find   childhood maid  mysteriously disappeared.  three stories intertwined  explain  life  jackson, mississippi revolves around ""the help""; yet   always kept   certain distance   racial lines.",Drama
Star Wars,princess lia  captured  held hostage   evil imperial forces   effort  take   galactic empire. venturesome luke skywalker  washing captain han solo team together   movable robot duo r2-d2  c-3po  rescue  beautiful princess  restore peace  justice   empire.,"Adventure, Action, Science Fiction"
The Prestige," mysterious story  two magicians whose intense rivalry leads    life-long battle  supremacy -- full  obsession, deceit  jealousy  dangerous  deadly consequences.","Drama, Mystery, Science Fiction"
Coco,"despite  family’s battling generations-old ban  music, miguel dreams  becoming  accomplished musician like  idol, ernest de la cruz. desperate  prove  talent, miguel finds    stunning  colorful land   dead following  mysterious chain  events. along  way,  meets charming cricketer hector,  together,  set    extraordinary journey  unlock  real story behind miguel's family history.","Family, Animation, Music, Adventure"
The Handmaiden,"1930s korea,   period  japanese occupation,  new girl, looked,  hired   handmade   japanese heiress, video,  lives  secluded life   large countryside estate   domineering uncle suzuki.   maid   secret.    pickpocket recruited   spindle posing   japanese count  help  seduce  lady  slope  him, rob    fortune,  lock     madhouse.  plan seems  proceed according  plan  looked  video discover  unexpected emotions.","Thriller, Drama, Romance"
Shutter Island,"world war ii soldier-turned-u.s. marshal teddy daniels investigates  disappearance   patient   hospital   criminally insane,   efforts  compromised  troubling visions   mysterious doctor.","Drama, Thriller, Mystery"
The Apartment,"bud batter   minor clerk   huge new york insurance company,   discovers  quick way  climb  corporate ladder.  lends   apartment   executives   place  take  mistresses. although  often   deal   aftermath   visits, one night  left   major problem  solve.","Comedy, Drama, Romance"
My Mom Is a Character 3, herínia    rediscovery  reinvent    children  forming new families.  superior    deal   new life scenario: barcelona  pregnant  julian  getting married.,Comedy
Hacksaw Ridge,"wwii american army medic demand t. does,  served   battle  okinawa, refuses  kill people  becomes  first conscientious objector  american history  receive  congressional medal  honor.","Drama, History, War"
Doctor Who: The Day of the Doctor," 2013, something terrible  awakening  london's national gallery;  1562,  murderous plot  foot  elizabeth england;  somewhere  space  ancient battle reaches  devastating conclusion.   reality   stake   doctor's  dangerous past comes back  haunt him.","Science Fiction, Adventure"
The Art of Racing in the Rain," family dog –   near-human soul   philosopher's mind – evaluates  life   lessons learned   human owner,  race-car driver.","Drama, Romance"
Maquia: When the Promised Flower Blooms,"maria   member   special race called  morph   live  hundreds  years. however, maria  always felt lonely despite  surrounded   people,    orphaned   young age.  daydreams   outside world,  dares  travel   home due   warnings   clan's chief. one day  kingdom  mezarte invades  homeland.  already    left   giant dragons,  senate,   control,    king wishes  add  immortality   bloodline.  savage  morph homeland  kill    inhabitants. caught   midst   attack, maria  carried   one   senate.  soon dies,    left deserted   forest,  truly alone save   cries   single baby    distance. maria finds  baby   destroyed village  decides  raise    own, naming  ariel. although  knows nothing   human world,   raise  child  ages much faster  her.","Animation, Fantasy, Drama, Adventure"
A Clockwork Orange,"  near-future britain, young alexander large   pals get  kicks beating  raping anyone  please.   destroying  lives  others, alex spoons   music  beethoven.  state, eager  crack   juvenile crime, gives  incarcerated alex  option  undergo  invasive procedure  rob    personal agency.   time  conscience   commodity,  alex change  tune?","Science Fiction, Crime"
Django Unchained,"  help   german bounty hunter,  freed slave sets   rescue  wife   brutal mississippi plantation owner.","Drama, Western"
Bicycle Thieves,"unemployed antonio  related   finally finds work hanging posters around war-torn rome. however   first day,  bicycle—essential   work—gets stolen.  job  doomed unless   find  thief.   help   son, antonio combs  city, becoming desperate  justice.",Drama
